time_index	left_time_boundary	right_time_boundary	lambda
0	0	2.8461e-07	9.50843
1	2.8461e-07	6.59512e-07	9.50843
2	6.59512e-07	1.15335e-06	2447.16
3	1.15335e-06	1.80386e-06	1212.38
4	1.80386e-06	2.66074e-06	1084.51
5	2.66074e-06	3.78947e-06	1348.4
6	3.78947e-06	5.27629e-06	1757.76
7	5.27629e-06	7.23479e-06	2105.23
8	7.23479e-06	9.81463e-06	2170.7
9	9.81463e-06	1.32129e-05	2044.72
10	1.32129e-05	1.76893e-05	1967.72
11	1.76893e-05	2.35858e-05	1996.24
12	2.35858e-05	3.1353e-05	2026.08
13	3.1353e-05	4.15843e-05	2053.59
14	4.15843e-05	5.50615e-05	2119.39
15	5.50615e-05	7.28143e-05	2244.35
16	7.28143e-05	9.61991e-05	2410.23
17	9.61991e-05	0.000127003	2584.59
18	0.000127003	0.000167579	2766.7
19	0.000167579	0.000221028	2936.13
20	0.000221028	0.000291433	3033.04
21	0.000291433	0.000384174	2973.59
22	0.000384174	0.000506338	2759.16
23	0.000506338	0.000667257	2418.89
24	0.000667257	0.000879228	2043.55
25	0.000879228	0.00115845	1716.74
26	0.00115845	0.00152625	1477.28
27	0.00152625	0.00201073	1340.82
28	0.00201073	0.00264892	1340.82
29	0.00264892	0.00348957	168.62
30	0.00348957	0.00459691	168.62
31	0.00459691	inf	168.62
